d,n,m,i,igapols.ft
0.2,5,5,2,1321
0.2,5,5,5,1527
0.2,5,5,4,1432
0.2,5,5,7,1503
0.2,5,5,3,1533
0.2,5,5,6,1539
0.2,5,5,0,1191
0.2,5,5,1,1322
0.2,5,5,10,1267
0.2,5,5,8,1297
0.2,5,5,9,997
0.2,5,5,11,1288
0.2,5,5,13,1344
0.2,5,5,12,1621
0.2,5,5,14,1678
0.2,5,5,15,1248
0.2,5,5,16,1366
0.2,5,5,17,1165
0.2,5,5,18,1217
0.2,5,5,20,1376
0.2,5,5,19,1284
0.2,5,5,22,1217
0.2,5,5,23,1571
0.2,5,5,21,1298
0.2,5,5,26,1397
0.2,5,5,27,1141
0.2,5,5,25,1295
0.2,5,5,28,1592
0.2,5,5,24,1289
0.2,5,5,29,1148
0.2,5,10,0,2276
0.2,5,10,1,2504
0.2,5,10,2,2542
0.2,5,10,5,2496
0.2,5,10,7,2100
0.2,5,10,3,2436
0.2,5,10,6,3105
0.2,5,10,4,2423
0.2,5,10,9,2272
0.2,5,10,8,2154
0.2,5,10,11,2604
0.2,5,10,10,2884
0.2,5,10,12,2542
0.2,5,10,13,2568
0.2,5,10,15,2672
0.2,5,10,14,2545
0.2,5,10,17,2678
0.2,5,10,18,2594
0.2,5,10,16,2473
0.2,5,10,19,2305
0.2,5,10,20,2287
0.2,5,10,21,2211
0.2,5,10,22,2732
0.2,5,10,23,1966
0.2,5,10,24,2409
0.2,5,10,27,2733
0.2,5,10,25,2811
0.2,5,10,28,2202
0.2,5,10,26,2122
0.2,5,10,29,2636
0.2,5,20,0,4939
0.2,5,20,3,4522
0.2,5,20,1,4659
0.2,5,20,2,4543
0.2,5,20,6,4819
0.2,5,20,5,4712
0.2,5,20,4,4761
0.2,5,20,7,4289
0.2,5,20,10,3980
0.2,5,20,11,5011
0.2,5,20,8,4676
0.2,5,20,12,4504
0.2,5,20,13,4627
0.2,5,20,9,4701
0.2,5,20,14,4604
0.2,5,20,15,4672
0.2,5,20,16,4532
0.2,5,20,17,4251
0.2,5,20,19,4582
0.2,5,20,18,4366
0.2,5,20,21,4541
0.2,5,20,20,4056
0.2,5,20,22,4342
0.2,5,20,24,4682
0.2,5,20,23,4463
0.2,5,20,27,4793
0.2,5,20,26,4756
0.2,5,20,25,4843
0.2,5,20,28,4861
0.2,5,30,1,6290
0.2,5,20,29,4759
0.2,5,30,0,6476
0.2,5,30,2,6813
0.2,5,30,3,6713
0.2,5,30,5,6059
0.2,5,30,6,6567
0.2,5,30,4,5921
0.2,5,30,9,6222
0.2,5,30,7,6611
0.2,5,30,8,6767
0.2,5,30,10,6579
0.2,5,30,12,7100
0.2,5,30,11,6662
0.2,5,30,14,7271
0.2,5,30,15,6549
0.2,5,30,13,6934
0.2,5,30,17,6477
0.2,5,30,16,6924
0.2,5,30,18,6795
0.2,5,30,19,6834
0.2,5,30,20,6995
0.2,5,30,23,6431
0.2,5,30,21,7174
0.2,5,30,24,6218
0.2,5,30,25,6898
0.2,5,30,26,6605
0.2,5,30,22,6722
0.2,5,30,27,6923
0.2,5,30,28,6951
0.2,5,30,29,5532
0.2,100,5,1,186034
0.2,100,5,0,185140
0.2,100,5,6,189603
0.2,100,5,3,183226
0.2,100,5,4,181530
0.2,100,5,5,188270
0.2,100,5,7,188488
0.2,100,5,2,189969
0.2,100,5,8,185562
0.2,100,5,11,180160
0.2,100,5,10,178558
0.2,100,5,9,181467
0.2,100,5,12,176035
0.2,100,5,13,190828
0.2,100,5,15,186650
0.2,100,5,14,183139
0.2,100,5,18,185425
0.2,100,5,17,174145
0.2,100,5,16,182921
0.2,100,5,21,193551
0.2,100,5,20,177439
0.2,100,5,22,193414
0.2,100,5,23,171156
0.2,100,5,19,186053
0.2,100,5,24,202918
0.2,100,5,28,178046
0.2,100,5,25,181607
0.2,100,5,29,180431
0.2,100,5,26,181211
0.2,100,5,27,180487
0.2,100,10,0,233057
0.2,100,10,1,231319
0.2,100,10,3,234317
0.2,100,10,5,237795
0.2,100,10,4,234164
0.2,100,10,9,240393
0.2,100,10,6,235813
0.2,100,10,7,238033
0.2,100,10,11,238876
0.2,100,10,12,231452
0.2,100,10,8,231434
0.2,100,10,2,233766
0.2,100,10,13,230209
0.2,100,10,10,235353
0.2,100,10,16,236312
0.2,100,10,18,226607
0.2,100,10,15,231293
0.2,100,10,17,244863
0.2,100,10,20,225323
0.2,100,10,19,234445
0.2,100,10,22,232376
0.2,100,10,23,238135
0.2,100,10,25,215648
0.2,100,10,14,234575
0.2,100,10,24,229638
0.2,100,10,21,212756
0.2,100,10,26,239271
0.2,100,10,27,231936
0.2,100,10,28,235634
0.2,100,10,29,234465
0.2,100,20,1,317150
0.2,100,20,2,319189
0.2,100,20,4,298690
0.2,100,20,0,309636
0.2,100,20,3,323965
0.2,100,20,5,305649
0.2,100,20,8,314496
0.2,100,20,6,305598
0.2,100,20,10,301517
0.2,100,20,7,316305
0.2,100,20,11,307744
0.2,100,20,9,305593
0.2,100,20,12,297429
0.2,100,20,15,312201
0.2,100,20,18,309085
0.2,100,20,14,307098
0.2,100,20,13,307903
0.2,100,20,19,304675
0.2,100,20,20,310432
0.2,100,20,17,304871
0.2,100,20,21,305327
0.2,100,20,16,306100
0.2,100,20,23,303895
0.2,100,20,22,303793
0.2,100,20,24,315842
0.2,100,20,27,313100
0.2,100,20,28,313685
0.2,100,20,25,298927
0.2,100,20,29,310696
0.2,100,20,26,316704
0.2,100,30,2,373067
0.2,100,30,5,389378
0.2,100,30,1,375100
0.2,100,30,7,375947
0.2,100,30,3,386249
0.2,100,30,6,382859
0.2,100,30,4,387651
0.2,100,30,8,380335
0.2,100,30,0,372135
0.2,100,30,11,375854
0.2,100,30,13,380786
0.2,100,30,14,389327
0.2,100,30,12,376856
0.2,100,30,15,380316
0.2,100,30,19,389329
0.2,100,30,10,370635
0.2,100,30,18,377010
0.2,100,30,16,380460
0.2,100,30,17,380967
0.2,100,30,21,377157
0.2,100,30,9,373053
0.2,100,30,22,372422
0.2,100,30,20,377805
0.2,10,5,0,3164
0.2,10,5,1,3764
0.2,10,5,2,4110
0.2,10,5,3,4519
0.2,10,5,4,3167
0.2,10,5,5,3415
0.2,10,5,6,2810
0.2,10,5,7,3814
0.2,10,5,8,3910
0.2,10,5,9,3530
0.2,10,5,10,3270
0.2,10,5,11,3275
0.2,10,5,12,3389
0.2,10,5,13,3656
0.2,10,5,14,3111
0.2,10,5,15,3696
0.2,10,5,16,3967
0.2,100,30,23,377170
0.2,10,5,17,3340
0.2,10,5,18,4377
0.2,10,5,20,3744
0.2,10,5,19,4121
0.2,10,5,21,3270
0.2,10,5,22,3879
0.2,10,5,23,3216
0.2,10,5,24,3889
0.2,10,5,25,3311
0.2,10,5,26,3668
0.2,10,5,27,3975
0.2,10,5,28,2811
0.2,10,5,29,3326
0.2,10,10,0,6806
0.2,10,10,1,5640
0.2,10,10,2,6287
0.2,10,10,3,5956
0.2,10,10,4,5840
0.2,10,10,5,5860
0.2,10,10,6,6330
0.2,10,10,7,6120
0.2,10,10,8,7336
0.2,10,10,9,5582
0.2,10,10,10,5951
0.2,10,10,11,6544
0.2,10,10,13,6496
0.2,10,10,12,5929
0.2,10,10,15,6163
0.2,10,10,14,5335
0.2,10,10,16,6626
0.2,10,10,17,6010
0.2,10,10,18,5952
0.2,10,10,19,5694
